# ==========================================================================
# 	xxx	len	max OP		000	001	002	003	004
# ==========================================================================
	 82	   78	 0.50033	----	0.019622972973317082547	1.7366924652073765037	1.6739063732795651936	0.5697781885397412202	----	1.0	130.0	98.0	54.0	
	 84	   27	 0.30330	3.0	----	----	----	----	1.0	----	----	----	----	
	 85	   36	 0.35126	----	2.9132161236376851357	0.086783876362314864365	----	----	----	1.0	3.0	----	----	
	 88	   22	 0.30363	1.0	----	----	----	----	1.0	----	----	----	----	
	 89	   16	 0.30769	----	1.0	----	----	----	----	1.0	----	----	----	
	 78	  103	 0.42776	----	0.020250723240115720768	3.1957117248058046005	3.784037551954079679	----	----	1.0	80.0	48.0	----	
	 87	   37	 0.50122	----	0.045193687230989961302	1.3261963285658554372	----	1.6286099842031546015	----	1.0	58.0	----	22.0	
	 92	  283	 0.48541	----	----	----	0.36676411063638406288	0.6332358893636159371	----	----	----	233.0	176.0	
	 93	   70	 0.37323	----	0.1428571428571428599	1.85714285714285714	----	----	----	1.0	39.0	----	----	
	 90	   27	 0.30330	5.0	----	----	----	----	1.0	----	----	----	----	
	 91	   36	 0.35126	----	4.7155667144906743063	0.2844332855093256936	----	----	----	1.0	3.0	----	----	
	 86	   87	 0.50173	----	0.03614977842721778326	2.1622383943156780384	0.6332358893636159371	3.1683759378934882411	----	1.0	134.0	96.0	42.0	
	 98	  265	 0.50152	----	----	----	0.44485025566106649097	0.555149744338933509	----	----	----	464.0	304.0	
	 94	   67	 0.50067	----	----	----	4.681666208810337328	1.3183337911896626721	----	----	----	80.0	42.0	
	 95	   50	 0.36955	----	0.10714285714285715016	1.8928571428571428499	----	----	----	1.0	25.0	----	----	
	 96	   22	 0.30363	6.0	----	----	----	----	1.0	----	----	----	----	
	 97	   16	 0.30769	----	6.0	----	----	----	----	1.0	----	----	----	
	102	   27	 0.30330	1.0	----	----	----	----	1.0	----	----	----	----	
	 99	  125	 0.50052	----	----	----	1.3148187344092677421	1.6851812655907322579	----	----	----	192.0	130.0	
	103	   36	 0.35126	----	1.9596474953617810756	0.040352504638218924372	----	----	----	1.0	3.0	----	----	
	104	   71	 0.30130	2.0	----	----	----	----	1.0	----	----	----	----	
	107	   31	 0.30259	1.0	----	----	----	----	1.0	----	----	----	----	
	106	   32	 0.34554	----	3.0	----	----	----	----	1.0	----	----	----	
	100	   64	 0.50028	----	0.085705942773407877	3.3118600034482827965	1.1993258629228462175	4.403108190855463109	----	1.0	110.0	86.0	46.0	
	101	  159	 0.50023	----	0.008000927643784787039	1.6386225226228504429	0.52266008965380668144	2.8307164600795580885	----	1.0	290.0	254.0	186.0	
